Survey Title: Student's Satisfaction and Perception Towards Online Shopping,,,,,,,,,,,,
Timestamp,Name (Optional): ,Age: ,How often do you buy on Online Shops (eCommerce sites)?,Which E-commerce Site/Platform do you use the most?,How much in total do you spend on Online Shopping Monthly?,What is your biggest concern in terms of buying Online?,I am very happy and satisfied with my online shopping experience regardless of which platform. ,I have not experienced or less encountered problems on parcel deliveries.,"Online shopping is very convenient for me, and it helps with the current situation especially during this pandemic.",I can save money because prices Online are much cheaper than in Physical Stores.,I can easily manage my time because Online shopping has made it easier for me to buy things I need.,I plan to continue buying goods and items online.
09/07/2021 15:51,,19 and Above,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,3,5,4,5,5,3
09/07/2021 15:53,,19 and Above,Seldom,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,5,4,4,4,5,4
09/07/2021 15:54,,19 and Above,Seldom,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,3,4,4,3,3
09/07/2021 15:55,,19 and Above,Seldom,Shopee,Less Than ₱1000,Payment Options.,4,4,4,4,4,4
09/07/2021 15:56,,19 and Above,Very Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,5,4,5,5,5,5
09/07/2021 16:00,,19 and Above,Very Often,Twitter,Less Than ₱1000,Estimated Time of Arrival ,5,5,5,5,5,4
09/07/2021 16:00,,19 and Above,Very Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,1,4,4,3,5
09/07/2021 16:01,,19 and Above,Very Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,4,5,5,4,4
09/07/2021 16:01,,19 and Above,Very Often,Lazada,₱1000 - ₱3000,Too much waiting time of parcel arrival.,4,3,4,4,5,5
09/07/2021 16:01,Erica,19 and Above,Not Often,Shopee,Less Than ₱1000,Too much waiting time of parcel arrival.,4,5,5,5,5,5
09/07/2021 16:01,Jaezelle Ann Eunice C. Ronario,19 and Above,Not Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,5,5,4,4,4
09/07/2021 16:02,,19 and Above,Very Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,5,5,4,5,4
09/07/2021 16:03,,19 and Above,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,4,5,2,4,2
09/07/2021 16:04,,19 and Above,Not Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,2,4,4,4,5
09/07/2021 16:04,shong,19 and Above,Not Often,Facebook Marketplace,Less Than ₱1000,Too much waiting time of parcel arrival.,4,4,4,5,4,4
09/07/2021 16:10,,19 and Above,Not Often,Shopee,₱1000 - ₱3000,Parcels might be mishandled and be damaged.,4,4,5,5,5,4
09/07/2021 16:12,,18 and Below,Not Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,3,4,4,3,4
09/07/2021 16:12,Godfrey,18 and Below,Not Often,Shopee,Less Than ₱1000,Too much waiting time of parcel arrival.,3,4,5,3,4,3
09/07/2021 16:12,,18 and Below,Not Often,Shopee,Less Than ₱1000,Too much waiting time of parcel arrival.,4,5,4,3,4,3
09/07/2021 16:13,,19 and Above,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,3,4,5,4,4,4
09/07/2021 16:13,,18 and Below,Very Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,4,5,5,5,5
09/07/2021 16:15,Angelina,19 and Above,Seldom,Shopee,Less Than ₱1000,Too much waiting time of parcel arrival.,5,3,5,5,5,5
09/07/2021 16:16,,18 and Below,Very Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,3,4,4,4,4
09/07/2021 16:18,Gerald Christian Rey R. Balindan,18 and Below,Not Often,Shopee,₱1000 - ₱3000,Actual Item is different from the Advertisement.,4,5,5,5,5,5
09/07/2021 16:18,,18 and Below,Not Often,Lazada,Less Than ₱1000,Actual Item is different from the Advertisement.,3,4,5,3,1,3
09/07/2021 16:21,Aubrey Fenol,19 and Above,Very Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,3,4,5,5,3
09/07/2021 16:21,,19 and Above,Very Often,Shopee,Less Than ₱1000,Parcels might be mishandled and be damaged.,4,4,4,3,3,4
09/07/2021 16:25,,19 and Above,Not Often,Shopee,Less Than ₱1000,Actual Item is different from the Advertisement.,4,2,5,5,5,4
09/07/2021 16:32,GENUS.,19 and Above,Seldom,Shopee,Less Than ₱1000,Too much waiting time of parcel arrival.,4,4,4,4,4,4
